Time (s),Torque (in-lb)
242,-0.0103027961898198
243,-0.00570303163610537
244,0.022568834999725
245,0.011836051041058
246,0.0103027961898198
247,0.00416977678486722
248,0.0164358155947724
249,0.0287018544046776
250,0.0287018544046776
251,0.00263652193362907
252,0.0379013835121066
253,0.0271685995534395
254,0.0164358155947724
255,0.0271685995534395
256,0.0133693058922961
257,0.00723628648734353
258,0.0317683641071539
259,-0.00570303163610537
260,0.0179690704460106
261,0.0302351092559158
262,0.0164358155947724
263,0.0149025607435343
264,0.022568834999725
265,0.0210355801484869
266,0.0639667159831551
267,0.011836051041058
268,0.0103027961898198
269,0.0348348738096303
270,0.0195023252972487
271,0.0164358155947724
272,0.0256353447022013
273,0.0394346383633447
274,0.0133693058922961
275,0.0317683641071539
276,-0.00876954133858168
277,0.0210355801484869
278,0.0195023252972487
279,0.0471009126195355
280,0.0409678932145829
281,0.0133693058922961
282,0.00416977678486722
283,0.0195023252972487
284,0.0210355801484869
285,0.0179690704460106
286,0.00723628648734353
287,0.0256353447022013
288,0.0271685995534395
289,0.0256353447022013
290,0.0348348738096303
291,0.0486341674707736
292,-0.00876954133858168
293,0.0256353447022013
294,0.011836051041058
295,0.0287018544046777
296,0.0149025607435343
297,0.00570303163610537
298,0.0195023252972487
299,0.022568834999725
300,0.0103027961898198
301,0.0164358155947724
302,0.00723628648734353
303,0.0317683641071539
304,0.0241020898509632
305,0.0271685995534395
306,0.0363681286608684
307,0.0103027961898198
308,0.0317683641071539
309,0.022568834999725
310,0.0241020898509632
311,0.0317683641071539
312,0.0271685995534395
313,0.0333016189583921
314,0.0685664805368696
315,0.0195023252972487
316,0.0302351092559158
317,0.0179690704460106
318,0.0333016189583921
319,0.0256353447022014
320,0.0471009126195355
321,0.042501148065821
322,0.0394346383633447
323,0.0593669514294407
324,0.0149025607435343
325,0.0471009126195355
326,0.0440344029170592
327,0.0486341674707736
328,0.0241020898509632
329,0.0317683641071539
330,0.0271685995534395
331,0.0455676577682973
332,0.0133693058922961
333,0.0593669514294407
334,0.0578336965782025
335,0.0133693058922961
336,0.0379013835121066
337,0.0271685995534395
338,0.0363681286608684
339,0.0363681286608684
340,0.0287018544046776
341,0.042501148065821
342,0.0210355801484869
343,0.0379013835121066
344,0.0333016189583921
345,0.0333016189583921
346,0.0256353447022013
347,0.0241020898509632
348,0.0302351092559158
349,0.0133693058922961
350,0.0394346383633447
351,0.0348348738096303
352,0.0379013835121066
353,0.0501674223220118
354,0.0317683641071539
355,0.00723628648734353
356,0.0271685995534395
357,0.0164358155947724
358,0.0348348738096303
359,0.0471009126195355
360,0.0287018544046776
361,0.0256353447022013
362,0.0317683641071539
363,0.0501674223220118
364,0.00723628648734353
365,0.0287018544046776
366,0.0471009126195355
367,0.011836051041058
368,0.0394346383633447
369,0.0317683641071539
370,0.0517006771732499
371,0.0256353447022013
372,0.0363681286608684
373,0.0179690704460106
374,0.042501148065821
375,0.0394346383633447
376,0.0455676577682973
377,0.0563004417269644
378,0.0241020898509632
379,0.0287018544046777
380,0.0241020898509632
381,0.0133693058922961
382,0.0271685995534395
383,0.011836051041058
384,0.011836051041058
385,0.0195023252972487
386,0.0256353447022013
387,0.0287018544046776
388,0.0271685995534395
389,0.0471009126195355
390,0.0501674223220118
391,0.0271685995534395
392,0.0195023252972487
393,0.0440344029170592
394,0.0103027961898198
395,0.0241020898509632
396,0.0271685995534395
397,0.0379013835121066
398,0.0409678932145829
399,0.0440344029170592
400,0.0700997353881077
401,0.0440344029170592
402,0.0256353447022013
403,0.0271685995534395
404,0.00110326708239092
405,-0.00416977678486722
406,0.0670332256856314
407,0.0348348738096303
408,0.022568834999725
409,0.0440344029170592
410,0.0532339320244881
411,0.0486341674707736
412,0.0333016189583921
413,0.0440344029170592
414,0.0317683641071539
415,0.0394346383633447
416,0.0363681286608684
417,0.0394346383633447
418,0.0379013835121066
419,0.0409678932145829
420,0.0210355801484869
421,0.0333016189583921
422,0.042501148065821
423,0.0563004417269644
424,0.042501148065821
425,0.0271685995534395
426,0.0348348738096303
427,0.0471009126195355
428,0.0363681286608684
429,0.0379013835121066
430,0.0317683641071539
431,0.0379013835121066
432,0.0133693058922961
433,0.0149025607435343
434,0.0409678932145829
435,0.0409678932145829
436,0.0348348738096303
437,0.0348348738096303
438,-0.00723628648734353
439,0.062433461131917
440,0.0440344029170592
441,0.0348348738096303
442,0.0593669514294407
443,0.0256353447022013
444,0.0348348738096303
445,0.0746994999418222
446,0.082365774198013
447,0.0287018544046776
448,0.0379013835121066
449,0.0210355801484869
450,0.0578336965782025
451,0.0440344029170592
452,0.0685664805368696
453,0.0363681286608684
454,0.0256353447022013
455,0.0563004417269644
456,0.0440344029170592
457,0.022568834999725
458,0.0348348738096303
459,0.0471009126195355
460,0.0333016189583921
461,0.0532339320244881
462,0.0593669514294407
463,0.0409678932145829
464,0.0348348738096303
465,0.0578336965782025
466,0.0654999708343933
467,0.0333016189583921
468,0.0792992644955366
469,0.0363681286608684
470,0.0287018544046776
471,0.042501148065821
472,0.0654999708343933
473,0.0394346383633447
474,0.0471009126195355
475,0.0317683641071539
476,0.0501674223220118
477,0.0471009126195355
478,0.0593669514294407
479,0.0517006771732499
480,0.0639667159831551
481,0.0486341674707736
482,0.062433461131917
483,0.0164358155947724
484,0.0271685995534395
485,0.0486341674707736
486,0.0394346383633447
487,0.042501148065821
488,0.0394346383633447
489,0.0363681286608684
490,0.0700997353881077
491,0.0532339320244881
492,0.0440344029170592
493,0.0164358155947724
494,0.0363681286608684
495,0.0547671868757262
496,0.0241020898509632
497,0.0302351092559158
498,0.0654999708343933
499,0.0409678932145829
500,0.0195023252972487
501,0.0501674223220118
502,0.0654999708343933
503,0.0287018544046776
504,0.0547671868757262
505,0.0639667159831551
506,0.0379013835121066
507,0.0486341674707736
508,0.0455676577682973
509,0.0578336965782025
510,0.0363681286608684
511,0.0746994999418222
512,0.0593669514294407
513,0.0440344029170592
514,0.0609002062806788
515,0.0471009126195355
516,0.0302351092559158
517,0.0409678932145829
518,0.0471009126195355
519,0.0563004417269644
520,0.0609002062806788
521,0.0440344029170592
522,0.0455676577682973
523,0.0471009126195355
524,0.0823657741980129
525,0.0271685995534395
526,0.0471009126195355
527,0.0455676577682973
528,0.0471009126195355
529,0.0517006771732499
530,0.0563004417269644
531,0.042501148065821
532,0.0517006771732499
533,0.0854322839004892
534,0.0609002062806788
535,0.062433461131917
536,0.0501674223220118
537,0.0486341674707736
538,0.0792992644955366
539,0.0547671868757262
540,0.0762327547930603
541,0.0639667159831551
542,0.0409678932145829
543,0.0455676577682973
544,0.0563004417269644
545,0.0762327547930604
546,0.0409678932145829
547,0.042501148065821
548,0.0670332256856314
549,0.0486341674707736
550,0.0348348738096303
551,0.0287018544046776
552,0.0547671868757262
553,0.0792992644955366
554,0.0517006771732499
555,0.0609002062806788
556,0.0455676577682973
557,0.0563004417269644
558,0.0838990290492511
559,0.0639667159831551
560,0.0563004417269644
561,0.0808325193467748
562,0.0716329902393459
563,0.0379013835121066
564,0.0593669514294407
565,0.0363681286608684
566,0.062433461131917
567,0.062433461131917
568,0.0455676577682973
569,0.0563004417269644
570,0.0746994999418222
571,0.082365774198013
572,0.0700997353881077
573,0.0700997353881077
574,0.0563004417269644
575,0.062433461131917
576,0.0471009126195355
577,0.0593669514294407
578,0.0746994999418222
579,0.0838990290492511
580,0.0563004417269644
581,0.062433461131917
582,0.0547671868757262
583,0.0884987936029656
584,0.0486341674707736
585,0.0501674223220118
586,0.0609002062806788
587,0.0808325193467748
588,0.0333016189583921
589,0.0593669514294407
590,0.0609002062806788
591,0.0777660096442985
592,0.0808325193467748
593,0.0792992644955366
594,0.0762327547930604
595,0.082365774198013
596,0.0716329902393459
597,0.0884987936029656
598,0.0900320484542037
599,0.0639667159831551
600,0.0654999708343933
601,0.0961650678591563
602,0.0900320484542037
603,0.0563004417269644
604,0.0578336965782025
605,0.073166245090584
606,0.082365774198013
607,0.0838990290492511
608,0.102298087264109
609,0.0854322839004892
610,0.0777660096442985
611,0.0838990290492511
612,0.111497616371538
613,0.0654999708343933
614,0.0670332256856314
615,0.0915653033054419
616,0.103831342115347
617,0.1099643615203
618,0.0869655387517274
619,0.120697145478967
620,0.100764832412871
621,0.0854322839004892
622,0.0869655387517274
623,0.073166245090584
624,0.0854322839004893
625,0.0746994999418222
626,0.0808325193467748
627,0.0884987936029656
628,0.0823657741980129
629,0.113030871222776
630,0.0777660096442985
631,0.0838990290492511
632,0.102298087264109
633,0.0869655387517274
634,0.0900320484542037
635,0.0869655387517274
636,0.108431106669062
637,0.100764832412871
638,0.0961650678591563
639,0.103831342115347
640,0.0900320484542037
641,0.100764832412871
642,0.073166245090584
643,0.111497616371538
644,0.0976983227103944
645,0.0685664805368696
646,0.00570303163610537
647,-0.0179690704460106
648,-0.00416977678486722
649,-0.00263652193362907
