Time (s),Rotational Speed (rpm/sec)
240,4949.27472527472
241,4951.69230769231
242,4984.57142857143
243,4925.0989010989
244,4863.69230769231
245,4778.59340659341
246,4842.9010989011
247,4819.69230769231
248,4653.36263736264
249,4899.95604395604
250,4944.92307692308
251,5164.92307692308
252,5003.42857142857
253,5044.52747252747
254,5045.01098901099
255,5107.38461538462
256,5105.93406593407
257,5117.53846153846
258,5124.79120879121
259,5094.81318681319
260,5086.59340659341
261,5010.68131868132
262,4844.83516483516
263,4990.37362637363
264,4921.71428571429
265,4933.8021978022
266,4825.01098901099
267,4628.7032967033
268,4754.9010989011
269,4861.75824175824
270,4932.35164835165
271,4919.2967032967
272,4917.36263736264
273,4870.46153846154
274,4913.4945054945
275,4924.61538461538
276,4904.79120879121
277,4941.53846153846
278,4902.37362637363
279,5033.89010989011
